Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Tom Brady,NWE,QB,29,16,16,319,516,3529,24,12,49,102,2.08,0,0,0,0,,0,12,4,0,,2,219,219.4,241.4,231.4,35,6,31
Marques Colston,NOR,WR,23,14,12,0,0,0,0,0,0,0,,0,115,70,1038,14.83,8,0,,8,,,152,221.8,224.8,186.8,35,14,32
Jon Kitna,DET,QB,34,16,16,372,596,4208,21,22,34,156,4.59,2,0,0,0,,0,11,9,2,,,218,217.9,254.9,239.9,34,7,33
Todd Heap,BAL,TE,26,16,16,0,0,0,0,0,0,0,,0,116,73,765,10.48,6,0,,6,,,113,185.5,188.5,149.0,34,4,34
Chris Cooley,WAS,TE,24,16,16,0,0,0,0,0,0,0,,0,95,57,734,12.88,6,0,,6,1,,111,168.4,171.4,139.9,33,5,35
Joey Galloway,TAM,WR,35,16,14,0,0,0,0,0,2,9,4.50,0,143,62,1057,17.05,7,0,,7,,,149,210.6,213.6,179.6,32,15,36
Deuce McAllister,NOR,RB,28,15,13,0,0,0,0,0,244,1057,4.33,10,36,30,198,6.60,0,3,1,11,,,190,219.5,226.5,204.5,31,10,37
Laveranues Coles,NYJ,WR,29,16,16,0,0,0,0,0,2,14,7.00,0,152,91,1098,12.07,6,1,,6,,,147,238.2,241.2,192.7,31,16,38
Anquan Boldin*,ARI,WR,26,16,16,0,0,0,0,0,5,28,5.60,0,152,83,1203,14.49,4,1,,4,,,147,230.1,233.1,188.6,31,17,39
Andre Johnson*,HOU,WR,25,16,16,0,0,0,0,0,3,14,4.67,0,163,103,1147,11.14,5,1,,5,,,146,249.1,252.1,197.6,30,18,40
Joseph Addai,IND,RB,23,16,0,0,0,0,0,0,226,1081,4.78,7,50,40,325,8.13,1,2,1,8,,,187,226.6,233.6,206.6,28,11,41
Kellen Winslow,CLE,TE,23,16,16,0,0,0,0,0,0,0,,0,120,89,875,9.83,3,1,,3,,,106,194.5,197.5,150.0,27,6,42
Mike Furrey,DET,WR,29,16,14,0,0,0,0,0,0,0,,0,146,98,1086,11.08,6,1,1,6,,,143,240.6,244.6,191.6,26,19,43
Jeremy Shockey*,NYG,TE,26,15,15,0,0,0,0,0,0,0,,0,115,66,623,9.44,7,0,,7,,,104,170.3,173.3,137.3,26,7,44
Ladell Betts,WAS,RB,27,16,9,0,0,0,0,0,245,1154,4.71,4,64,53,445,8.40,1,6,3,5,,,184,236.9,245.9,210.4,25,12,45
Terry Glenn,DAL,WR,32,15,14,0,0,0,0,0,3,11,3.67,0,111,70,1047,14.96,6,0,,6,,,142,211.8,214.8,176.8,25,20,46
Philip Rivers*,SDG,QB,25,16,16,284,460,3388,22,9,48,49,1.02,0,0,0,0,,0,8,2,0,,1,208,208.4,222.4,217.4,24,8,47
Marion Barber III,DAL,RB,23,16,1,0,0,0,0,0,135,654,4.84,14,32,23,196,8.52,2,0,,16,,,181,204.0,210.0,192.5,22,13,48
Chester Taylor,MIN,RB,27,15,15,0,0,0,0,0,303,1216,4.01,6,51,42,288,6.86,0,5,3,6,,,180,222.4,231.4,201.4,22,14,49
Reggie Brown,PHI,WR,25,16,15,0,0,0,0,0,3,24,8.00,1,88,46,816,17.74,8,0,,9,,,138,184.0,187.0,161.0,21,21,50
Reggie Bush,NOR,RB,21,16,8,0,1,0,0,1,155,565,3.65,6,121,88,742,8.43,2,2,2,9,,,179,266.7,275.7,223.7,20,15,51
Hines Ward,PIT,WR,30,14,14,0,0,0,0,0,2,30,15.00,0,126,74,975,13.18,6,2,,6,,,137,210.5,213.5,173.5,20,22,52
Desmond Clark,CHI,TE,29,16,16,0,0,0,0,0,0,0,,0,80,45,626,13.91,6,0,,6,,,99,143.6,146.6,121.1,20,8,53
Vince Young*,TEN,QB,23,15,13,184,357,2199,12,13,83,552,6.65,7,0,0,0,,0,12,3,7,1,,203,203.2,225.2,216.2,19,9,54
Jerricho Cotchery,NYJ,WR,24,16,16,0,0,0,0,0,5,25,5.00,0,125,82,961,11.72,6,0,,6,,,135,216.6,219.6,175.6,18,23,55
Donovan McNabb,PHI,QB,30,10,10,180,316,2647,18,6,32,212,6.63,3,0,0,0,,0,3,2,3,,,201,201.1,215.1,207.1,17,10,56
Ahman Green,GNB,RB,29,14,14,0,0,0,0,0,266,1059,3.98,5,63,46,373,8.11,1,4,2,6,,,175,221.2,229.2,198.2,16,16,57
Jamal Lewis,BAL,RB,27,16,16,0,0,0,0,0,314,1132,3.61,9,26,18,115,6.39,0,4,2,9,,,175,192.7,200.7,183.7,16,17,58
L.J. Smith,PHI,TE,26,16,15,0,0,0,0,0,0,0,,0,75,50,611,12.22,5,0,,5,1,,93,143.1,146.1,118.1,15,9,59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fred Taylor,JAX,RB,30,15,15,0,0,0,0,0,231,1146,4.96,5,28,23,242,10.52,1,3,1,6,,,173,195.8,202.8,184.3,14,18,60
Larry Fitzgerald,ARI,WR,23,13,13,0,0,0,0,0,0,0,,0,111,69,946,13.71,6,0,,6,,,131,199.6,202.6,165.1,14,24,61
Isaac Bruce,STL,WR,34,16,13,0,1,0,0,0,0,0,,0,126,74,1098,14.84,3,0,,3,1,,130,203.8,206.8,166.8,13,25,62
Travis Henry,TEN,RB,28,14,13,0,0,0,0,0,270,1211,4.49,7,25,18,78,4.33,0,3,1,7,1,,171,188.9,192.9,179.9,12,19,63
Corey Dillon,NWE,RB,32,16,13,0,0,0,0,0,199,812,4.08,13,16,15,147,9.80,0,2,2,13,,,170,184.9,192.9,177.4,11,21,64
Thomas Jones,CHI,RB,28,16,16,1,1,-4,0,0,296,1210,4.09,6,47,36,154,4.28,0,1,1,6,,,170,206.2,213.2,188.2,11,20,65
Edgerrin James,ARI,RB,28,16,16,0,0,0,0,0,337,1159,3.44,6,61,38,217,5.71,0,3,3,6,,,168,205.6,214.6,186.6,9,22,66
Braylon Edwards,CLE,WR,23,16,15,0,0,0,0,0,3,7,2.33,0,125,61,884,14.49,6,0,,6,,,125,186.1,189.1,155.6,9,27,67
Santana Moss,WAS,WR,27,14,14,0,0,0,0,0,7,82,11.71,0,101,55,790,14.36,6,2,,6,1,,125,180.2,183.2,152.7,9,26,68
Eli Manning,NYG,QB,25,16,16,301,522,3244,24,18,25,21,0.84,0,0,0,0,,0,9,2,0,,,188,187.9,210.9,205.9,4,11,69
Mark Clayton,BAL,WR,24,16,12,0,1,0,0,0,7,-30,-4.29,0,113,67,939,14.01,5,0,,5,,,121,187.9,190.9,154.4,4,28,70
Randy McMichael,MIA,TE,27,16,16,0,0,0,0,0,0,0,,0,96,62,640,10.32,3,0,,3,,,82,144.0,147.0,113.0,4,10,71
Jason Witten*,DAL,TE,24,16,15,0,0,0,0,0,0,0,,0,90,64,754,11.78,1,0,,1,,,81,145.4,148.4,113.4,3,11,72
Warrick Dunn,ATL,RB,31,16,16,0,0,0,0,0,286,1140,3.99,4,28,22,170,7.73,1,1,,5,,,161,183.0,189.0,172.0,2,23,73
Eddie Kennison,KAN,WR,33,16,16,0,0,0,0,0,4,16,4.00,0,101,53,860,16.23,5,0,,5,,,118,170.6,173.6,144.1,1,29,74
Brett Favre,GNB,QB,37,16,16,343,613,3885,18,18,23,29,1.26,1,0,0,0,,0,8,8,1,,,184,184.3,213.3,202.3,,13,75
Ben Roethlisberger,PIT,QB,24,15,15,280,469,3513,18,23,32,98,3.06,2,0,0,0,,0,5,2,2,,,184,184.3,212.3,207.3,,12,76
Steve McNair,BAL,QB,33,16,16,295,468,3050,16,12,45,119,2.64,1,0,0,0,,0,7,1,1,,,178,177.9,196.9,189.9,,14,77
J.P. Losman,BUF,QB,25,16,16,268,429,3051,19,14,38,140,3.68,1,0,0,0,,0,13,7,1,,,176,176.0,203.0,190.0,,15,78
Chad Pennington,NYJ,QB,30,16,16,313,485,3352,17,16,35,109,3.11,0,1,0,7,,0,7,4,0,,,174,173.7,199.7,189.7,,17,
Tony Romo*,DAL,QB,26,16,10,220,337,2903,19,13,34,102,3.00,0,0,0,0,,0,9,3,0,1,1,174,174.3,196.3,187.3,,16,
Rex Grossman,CHI,QB,26,16,16,262,480,3193,23,20,24,2,0.08,0,1,1,-4,-4.00,0,8,5,0,,,170,170.5,198.5,190.0,,18,
Alex Smith,SFO,QB,22,16,16,257,442,2890,16,16,44,147,3.34,2,0,0,0,,0,10,5,2,,,164,164.3,191.3,180.3,,19,
Kevin Jones,DET,RB,24,12,12,0,0,0,0,0,181,689,3.81,6,78,61,520,8.52,2,5,5,8,,,159,219.9,230.9,189.4,,24,
Ronnie Brown,MIA,RB,25,13,12,0,1,0,0,0,241,1008,4.18,5,38,33,276,8.36,0,4,2,5,,,154,187.4,195.4,170.9,,25,
David Carr,HOU,QB,27,16,16,302,442,2767,11,12,53,195,3.68,2,0,0,0,,0,16,6,2,,1,152,152.2,176.2,164.2,,20,
Jake Delhomme,CAR,QB,31,13,13,263,431,2805,17,11,18,12,0.67,0,0,0,0,,0,6,4,0,,,151,151.4,169.4,162.4,,21,
Matt Hasselbeck,SEA,QB,31,12,12,210,371,2442,18,15,18,110,6.11,0,0,0,0,,0,3,2,0,,1,149,148.7,171.7,163.7,,22,
Willis McGahee,BUF,RB,25,14,14,0,0,0,0,0,259,990,3.82,6,28,18,156,8.67,0,4,2,6,,,147,164.6,172.6,155.6,,26,
Julius Jones,DAL,RB,25,16,16,0,0,0,0,0,267,1084,4.06,4,15,9,142,15.78,0,1,1,4,,,145,153.6,160.6,149.1,,27,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Leinart,ARI,QB,23,12,11,214,377,2547,11,12,22,49,2.23,2,0,0,0,,0,8,2,2,,,135,134.8,151.8,146.8,,23,
Laurence Maroney,NWE,RB,21,14,0,0,0,0,0,0,175,745,4.26,6,30,22,194,8.82,1,1,1,7,,,134,155.9,162.9,144.9,,28,
Mike Bell,DEN,RB,23,15,3,0,0,0,0,0,157,677,4.31,8,27,20,158,7.90,0,1,,8,,,132,151.5,157.5,141.5,,29,
Shaun Alexander,SEA,RB,29,10,10,0,0,0,0,0,252,896,3.56,7,16,12,48,4.00,0,6,3,7,,,130,142.4,148.4,136.4,,30,
Charlie Frye,CLE,QB,25,13,13,252,393,2454,10,17,47,215,4.57,3,0,0,0,,0,8,7,3,,,130,129.7,159.7,146.7,,25,
Brad Johnson,MIN,QB,38,15,14,270,439,2750,9,15,29,82,2.83,1,0,0,0,,0,9,,1,,,130,130.2,148.2,145.2,,24,
DeShaun Foster,CAR,RB,26,14,14,0,0,0,0,0,227,897,3.95,3,46,32,159,4.97,0,4,2,3,,,120,151.6,159.6,135.6,,31,
Marty Booker,MIA,WR,30,14,13,0,0,0,0,0,3,19,6.33,0,90,55,747,13.58,6,0,,6,2,,117,171.6,174.6,144.1,,30,
Tatum Bell,DEN,RB,25,13,13,0,0,0,0,0,233,1025,4.40,2,31,24,115,4.79,0,5,5,2,,,116,140.0,151.0,128.0,,32,
Chris Henry,CIN,WR,23,13,4,0,0,0,0,0,0,0,,0,75,36,605,16.81,9,0,,9,,,115,150.5,153.5,132.5,,31,
Muhsin Muhammad,CHI,WR,33,16,16,0,0,0,0,0,0,0,,0,117,60,863,14.38,5,1,1,5,,,114,174.3,178.3,144.3,,32,
Leon Washington,NYJ,RB,24,16,8,0,0,0,0,0,151,650,4.30,4,31,25,270,10.80,0,3,1,4,,,114,139.0,146.0,126.5,,33,
Dominic Rhodes,IND,RB,27,16,16,0,0,0,0,0,187,641,3.43,5,47,36,251,6.97,0,3,3,5,,,113,149.2,158.2,131.2,,34,
Bernard Berrian,CHI,WR,26,15,14,0,0,0,0,0,2,5,2.50,0,102,51,775,15.20,6,2,1,6,,,112,163.0,167.0,137.5,,33,
David Garrard,JAX,QB,28,11,10,145,241,1735,10,9,47,250,5.32,0,0,0,0,,0,4,2,0,,,112,112.4,129.4,121.4,,26,
Joey Harrington,MIA,QB,28,11,11,223,388,2236,12,15,19,24,1.26,0,0,0,0,,0,4,1,0,,2,112,111.8,130.8,126.8,,27,
Devery Henderson,NOR,WR,24,13,7,0,0,0,0,0,2,14,7.00,1,54,32,745,23.28,5,0,,6,,,112,143.9,146.9,127.9,,34,
Jake Plummer,DEN,QB,32,16,11,175,317,1994,11,13,36,112,3.11,1,0,0,0,,0,7,2,1,,,111,111.0,132.0,124.0,,28,
Clinton Portis,WAS,RB,25,8,7,0,0,0,0,0,127,523,4.12,7,26,17,170,10.00,0,0,,7,,,111,128.3,134.3,119.8,,35,
Reuben Droughns,CLE,RB,28,14,12,0,0,0,0,0,220,758,3.45,4,33,27,169,6.26,0,5,4,4,,,109,135.7,145.7,122.2,,37,
Damon Huard,KAN,QB,33,10,8,148,244,1878,11,1,9,9,1.00,0,2,2,-6,-3.00,0,9,5,0,,1,109,111.4,120.4,111.4,,29,
Brandon Jacobs,NYG,RB,24,15,0,0,0,0,0,0,96,423,4.41,9,14,11,149,13.55,0,2,1,9,,,109,120.2,127.2,114.7,,36,
Keyshawn Johnson,CAR,WR,34,16,16,0,1,0,0,1,1,4,4.00,1,128,70,815,11.64,4,1,1,5,,,108,177.9,182.9,143.9,,35,
Cedric Benson,CHI,RB,24,15,0,0,0,0,0,0,157,647,4.12,6,10,8,54,6.75,0,0,,6,,,106,114.1,117.1,110.1,,38,
Donte' Stallworth,PHI,WR,26,12,11,0,0,0,0,0,0,0,,0,70,38,725,19.08,5,0,,5,,,103,140.5,143.5,121.5,,36,
Mark Brunell,WAS,QB,36,10,9,162,260,1789,8,4,13,34,2.62,0,0,0,0,,0,5,1,0,,2,101,101.0,109.0,105.0,,30,
Reche Caldwell,NWE,WR,27,16,14,0,0,0,0,0,1,5,5.00,0,102,61,760,12.46,4,2,1,4,1,,101,161.5,165.5,131.0,,38,
Chris Chambers,MIA,WR,28,16,16,0,0,0,0,0,8,95,11.88,0,154,59,677,11.47,4,0,,4,,,101,160.2,163.2,130.7,,37,
Ron Dayne,HOU,RB,28,11,6,0,0,0,0,0,151,612,4.05,5,18,14,77,5.50,0,1,,5,1,,101,114.9,117.9,107.9,,39,
Deion Branch,SEA,WR,27,14,13,0,0,0,0,0,4,30,7.50,0,101,53,725,13.68,4,0,,4,,,100,152.5,155.5,126.0,,39,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cadillac Williams,TAM,RB,24,14,14,0,0,0,0,0,225,798,3.55,1,44,30,196,6.53,0,3,3,1,,,99,129.4,138.4,114.4,,40,
Santonio Holmes,PIT,WR,22,16,4,0,0,0,0,0,1,13,13.00,0,86,49,824,16.82,2,5,3,3,,,96,144.7,150.7,120.2,,40,
Bryant Johnson,ARI,WR,25,16,8,0,0,0,0,0,1,-3,-3.00,0,74,40,740,18.50,4,1,1,4,,,96,135.7,139.7,115.7,,41,
Jeff Garcia,PHI,QB,36,8,6,116,188,1309,10,2,25,87,3.48,0,0,0,0,,0,6,2,0,,1,95,95.1,102.1,97.1,,31,
Joe Horn,NOR,WR,34,10,9,0,1,0,0,0,0,0,,0,61,37,679,18.35,4,0,,4,1,,94,130.9,133.9,112.4,,42,
DeAngelo Williams,CAR,RB,23,13,2,0,0,0,0,0,121,501,4.14,1,36,33,313,9.48,1,1,,2,,,93,126.4,132.4,109.9,,41,
Drew Bennett,TEN,WR,28,16,15,0,0,0,0,0,0,0,,0,98,46,737,16.02,3,2,1,3,1,,92,137.7,141.7,114.7,,43,
Wali Lundy,HOU,RB,23,14,8,0,0,0,0,0,124,476,3.84,4,39,33,204,6.18,0,1,1,4,1,,92,125.0,132.0,108.5,,42,
Antonio Bryant,SFO,WR,25,14,13,0,0,0,0,0,0,0,,0,91,40,733,18.33,3,0,,3,,,91,131.3,134.3,111.3,,44,
Jason Campbell,WAS,QB,25,7,7,110,207,1297,10,6,24,107,4.46,0,0,0,0,,0,1,,0,,,91,90.6,102.6,96.6,,32,
Bruce Gradkowski,TAM,QB,23,13,11,177,328,1661,9,9,41,161,3.93,0,0,0,0,,0,11,6,0,,,89,88.5,109.5,97.5,,33,
Reggie Williams,JAX,WR,23,16,14,0,0,0,0,0,7,33,4.71,0,91,52,616,11.85,4,1,,4,,,89,140.9,143.9,114.9,,45,
Arnaz Battle,SFO,WR,26,16,15,0,1,0,0,0,5,25,5.00,0,85,59,686,11.63,3,2,1,3,,,87,146.1,150.1,116.6,,47,
Derrick Mason,BAL,WR,32,16,15,0,0,0,0,0,1,-4,-4.00,0,112,68,750,11.03,2,1,,2,,,87,154.6,157.6,120.6,,48,
Nate Washington,PIT,WR,23,16,2,0,0,0,0,0,3,8,2.67,0,69,35,624,17.83,4,0,,4,,,87,122.2,125.2,104.7,,46,
Michael Jenkins,ATL,WR,24,16,16,0,0,0,0,0,1,2,2.00,0,83,39,436,11.18,7,0,,7,,,86,124.8,127.8,105.3,,49,
Jerious Norwood,ATL,RB,23,14,0,0,1,0,0,0,99,633,6.39,2,15,12,102,8.50,0,0,,2,,,86,97.5,103.5,91.5,,43,
D.J. Hackett,SEA,WR,25,14,5,0,0,0,0,0,0,0,,0,66,45,610,13.56,4,0,,4,,,85,130.0,133.0,107.5,,50,
Vincent Jackson,SDG,WR,23,16,7,0,0,0,0,0,3,16,5.33,0,56,27,453,16.78,6,0,,6,1,,85,111.9,114.9,98.4,,51,
Matt Jones,JAX,WR,23,14,4,0,0,0,0,0,2,-15,-7.50,0,76,41,643,15.68,4,1,1,4,,,85,125.8,129.8,105.3,,52,
Justin Fargas,OAK,RB,26,16,6,0,0,0,0,0,178,659,3.70,1,21,13,91,7.00,0,1,,1,,,81,94.0,97.0,87.5,,44,
Greg Jennings,GNB,WR,23,14,11,0,0,0,0,0,0,0,,0,104,45,632,14.04,3,1,,3,,,81,126.2,129.2,103.7,,53,
Byron Leftwich,JAX,QB,26,6,6,108,183,1159,7,5,25,41,1.64,2,0,0,0,,0,2,,2,,,80,80.5,88.5,85.5,,34,
Travis Taylor,MIN,WR,28,16,16,0,0,0,0,0,1,5,5.00,0,87,57,651,11.42,3,2,2,3,,,80,136.6,141.6,108.1,,54,
Ben Watson,NWE,TE,26,13,13,0,0,0,0,0,0,0,,0,91,49,643,13.12,3,3,2,3,,,78,127.3,132.3,102.8,,12,
Ronald Curry,OAK,WR,27,16,4,0,2,0,0,1,1,4,4.00,0,89,62,727,11.73,1,0,,1,,,77,139.1,143.1,109.1,,55,
Mewelde Moore,MIN,RB,24,16,0,1,1,15,1,0,24,131,5.46,0,62,46,468,10.17,1,3,,2,,,77,122.5,128.5,99.5,,45,
Correll Buckhalter,PHI,RB,28,16,1,0,0,0,0,0,83,345,4.16,2,28,24,256,10.67,1,2,1,3,,,76,100.1,107.1,88.1,,46,
Patrick Crayton,DAL,WR,27,16,7,0,0,0,0,0,0,0,,0,48,36,516,14.33,4,1,,4,,,76,111.6,114.6,93.6,,57,
Antwaan Randle El,WAS,WR,27,16,16,2,3,88,1,0,19,118,6.21,0,63,32,351,10.97,3,2,1,4,,,76,108.4,115.4,92.4,,56,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevan Barlow,NYJ,RB,27,12,3,0,0,0,0,0,131,370,2.82,6,10,7,21,3.00,0,1,,6,,,75,82.1,85.1,78.6,,47,
Randy Moss,OAK,WR,29,13,13,0,0,0,0,0,0,0,,0,96,42,553,13.17,3,0,,3,,,73,115.3,118.3,94.3,,58,
Wes Welker,MIA,WR,25,16,2,0,0,0,0,0,0,0,,0,100,67,687,10.25,1,3,1,1,,,73,139.7,143.7,106.2,,59,
Cedric Houston,NYJ,RB,24,8,1,0,0,0,0,0,113,374,3.31,5,8,7,43,6.14,0,0,,5,,,72,78.7,81.7,75.2,,48,
Drew Bledsoe,DAL,QB,34,6,6,90,169,1164,7,8,8,28,3.50,2,0,0,0,,0,3,1,2,,,71,71.4,83.4,79.4,,35,
Kevin Curtis,STL,WR,28,16,1,0,0,0,0,0,4,4,1.00,0,57,40,479,11.98,4,1,1,4,,,70,110.3,114.3,90.3,,60,
Heath Miller,PIT,TE,24,16,16,0,0,0,0,0,0,0,,0,55,34,393,11.56,5,0,,5,,,69,103.3,106.3,86.3,,13,
Michael Pittman,TAM,RB,31,16,3,0,0,0,0,0,50,245,4.90,1,76,47,405,8.62,0,2,1,1,,,69,116.0,123.0,92.5,,49,
Joe Jurevicius,CLE,WR,32,13,8,0,0,0,0,0,0,0,,0,65,40,495,12.38,3,0,,3,,,68,107.5,110.5,87.5,,62,
Eric Parker,SDG,WR,27,15,12,0,0,0,0,0,2,19,9.50,0,70,48,659,13.73,0,0,,0,,,68,115.8,118.8,91.8,,61,
Rod Smith,DEN,WR,36,16,16,0,0,0,0,0,1,-5,-5.00,0,94,52,512,9.85,3,2,1,3,,,67,118.7,122.7,92.7,,63,
Michael Turner,SDG,RB,24,13,0,0,0,0,0,0,80,502,6.28,2,3,3,47,15.67,0,0,,2,,,67,69.9,72.9,68.4,,50,
Troy Brown,NWE,WR,35,16,9,0,0,0,0,0,2,18,9.00,0,75,43,384,8.93,4,0,,4,1,,66,109.2,112.2,87.7,,64,
Kevin Faulk,NWE,RB,30,15,1,0,0,0,0,0,25,123,4.92,1,56,43,356,8.28,2,2,,3,,,66,108.9,114.9,87.4,,51,
Trent Green,KAN,QB,36,8,8,121,198,1342,7,9,19,59,3.11,0,0,0,0,,0,5,3,0,,1,66,65.6,80.6,74.6,,36,
Owen Daniels,HOU,TE,24,14,12,0,0,0,0,0,0,0,,0,51,34,352,10.35,5,0,,5,,,65,99.2,102.2,82.2,,14,
Vernand Morency,2TM,RB,26,14,2,0,0,0,0,0,96,434,4.52,2,19,17,118,6.94,0,2,1,2,,,65,82.2,89.2,73.7,,52,
Jay Cutler,DEN,QB,23,5,5,81,137,1001,9,5,12,18,1.50,0,0,0,0,,0,8,2,0,,,64,63.8,73.8,68.8,,37,
Brandon Jones,TEN,WR,24,16,10,0,0,0,0,0,1,3,3.00,0,53,27,384,14.22,4,0,,4,,,63,89.7,92.7,76.2,,66,
Maurice Morris,SEA,RB,27,16,8,0,0,0,0,0,161,604,3.75,0,20,11,46,4.18,0,1,1,0,,,63,74.0,78.0,68.5,,53,
Samie Parker,KAN,WR,25,16,15,0,0,0,0,0,3,7,2.33,0,68,41,561,13.68,1,0,,1,,,63,103.8,106.8,83.3,,65,
Kurt Warner,ARI,QB,35,6,5,108,168,1377,6,5,13,3,0.23,0,0,0,0,,0,10,3,0,,,63,63.4,74.4,68.4,,38,
